job_category,work_year,median_salary,prior_year_median,yoy_growth_pct
BI and Visualization,2022,99000.0,,
BI and Visualization,2023,127000.0,99000.0,28.3
BI and Visualization,2024,106050.0,127000.0,-16.5
Cloud and Database,2022,175000.0,,
Cloud and Database,2023,140000.0,175000.0,-20.0
Cloud and Database,2024,126062.5,140000.0,-10.0
Data Analysis,2020,72000.0,,
Data Analysis,2021,77500.0,72000.0,7.6
Data Analysis,2022,105033.0,77500.0,35.5
Data Analysis,2023,104000.0,105033.0,-1.0
Data Analysis,2024,100000.0,104000.0,-3.8
Data Architecture and Modeling,2021,170000.0,,
Data Architecture and Modeling,2022,154520.0,170000.0,-9.1
Data Architecture and Modeling,2023,148070.0,154520.0,-4.2
Data Architecture and Modeling,2024,150000.0,148070.0,1.3
Data Engineering,2020,100000.0,,
Data Engineering,2021,96282.0,100000.0,-3.7
Data Engineering,2022,135000.0,96282.0,40.2
Data Engineering,2023,141600.0,135000.0,4.9
Data Engineering,2024,143500.0,141600.0,1.3
Data Management and Strategy,2021,165000.0,,
Data Management and Strategy,2022,107500.0,165000.0,-34.8
Data Management and Strategy,2023,85950.0,107500.0,-20.0
Data Management and Strategy,2024,77625.0,85950.0,-9.7
Data Quality and Operations,2022,86625.0,,
Data Quality and Operations,2023,82000.0,86625.0,-5.3
Data Quality and Operations,2024,78000.0,82000.0,-4.9
Data Science and Research,2020,103000.0,,
Data Science and Research,2021,90734.0,103000.0,-11.9
Data Science and Research,2022,141525.0,90734.0,56.0
Data Science and Research,2023,161450.0,141525.0,14.1
Data Science and Research,2024,150650.0,161450.0,-6.7
Leadership and Management,2021,120000.0,,
Leadership and Management,2022,133500.0,120000.0,11.3
Leadership and Management,2023,140000.0,133500.0,4.9
Leadership and Management,2024,130000.0,140000.0,-7.1
Machine Learning and AI,2020,88552.0,,
Machine Learning and AI,2021,74000.0,88552.0,-16.4
Machine Learning and AI,2022,142200.0,74000.0,92.2
Machine Learning and AI,2023,180100.0,142200.0,26.7
Machine Learning and AI,2024,185000.0,180100.0,2.7
