work_year,work_setting,n,pct_of_postings,avg_salary
2020,Remote,35,49.3,117315.0
2020,Hybrid,20,28.2,89436.0
2020,In-person,16,22.5,101416.0
2021,Remote,107,54.3,116831.0
2021,Hybrid,64,32.5,85950.0
2021,In-person,26,13.2,114444.0
2022,Remote,873,53.4,138454.0
2022,In-person,708,43.3,135187.0
2022,Hybrid,54,3.3,89460.0
2023,In-person,5767,68.0,156762.0
2023,Remote,2660,31.3,148174.0
2023,Hybrid,58,0.7,90489.0
2024,In-person,2896,76.0,150280.0
2024,Remote,898,23.6,147474.0
2024,Hybrid,17,0.4,80076.0
