,coefficient_usd
job_category_Machine Learning and AI,53679.271370723116
work_setting_In-person,44033.96656277949
work_setting_Remote,37357.8897474751
job_category_Data Science and Research,35435.66642337918
experience_ordinal,29641.832922169775
job_category_Data Architecture and Modeling,22046.66416170369
job_category_Cloud and Database,19144.71554216073
job_category_Data Engineering,18473.315209294462
job_category_Leadership and Management,13792.759198637266
company_size_M,-1202.2539085131257
job_category_Data Analysis,-10401.072402109534
job_category_Data Management and Strategy,-17427.41894930487
job_category_Data Quality and Operations,-23099.334571658554
company_size_S,-43856.73485670676
